# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
9240,147,-358,-783,-147,-5812,3499,565
9250,-750,-905,-1911,94,-6442,4107,764
9260,-466,-925,-1374,146,-6939,4632,26
9270,-701,-1499,-2039,340,-7540,5340,764
9280,-1214,-1956,-2149,353,-8358,6147,764
9290,-1210,-2301,-3091,382,-9168,7008,302
9300,-1711,-2185,-3118,345,-10016,7787,697
9310,-3501,-2592,-2968,133,-11052,8333,130
9320,-4530,-2421,-4809,94,-12465,8464,764
9330,-4992,-2915,-5396,-141,-13971,8349,607
9340,-5207,-3478,-5540,-297,-15229,8261,456
9350,-5009,-3622,-5711,-265,-15999,8203,562
9360,-4318,-3061,-6047,-615,-16461,8460,533
9370,-4611,-2604,-5845,-1044,-16505,8324,674
9380,-4928,-2156,-5439,-1549,-16441,7887,672
9390,-4945,-1966,-5093,-1983,-16224,7441,613
9400,-4889,-1517,-4598,-2566,-15986,7036,764
9410,-5244,-1056,-3721,-3219,-15906,6515,764
9420,-5581,-835,-3677,-3613,-15939,5899,763
9430,-5383,-565,-3767,-4017,-16112,5302,764
9440,-5379,-490,-3608,-4343,-16224,4483,763
9450,-5649,-658,-3847,-4673,-16447,3603,748
9460,-5816,-639,-3627,-4826,-16586,2737,25
9470,-5483,-1233,-3398,-4956,-16607,1941,764
9480,-4831,-1234,-2864,-5009,-16479,1378,32
9490,-3938,-393,-2628,-5045,-15937,452,764
9500,-3074,-191,-2532,-5133,-15387,-392,764
9510,-2028,-614,-2715,-5157,-14659,-1159,491
9520,-1253,-200,-2342,-5259,-13886,-1758,764
9530,-399,-465,-2197,-5204,-13012,-2074,493
9540,-81,-753,-1801,-5036,-12220,-2143,763
9550,-21,-577,-1789,-4867,-11560,-2006,28
9560,180,-598,-1616,-4665,-10924,-1813,251
9570,234,-696,-1690,-4468,-10240,-1585,171
9580,285,-726,-1569,-4302,-9586,-1364,320
9593,443,-823,-1518,-4018,-8782,-935,763
9604,522,-837,-1492,-3881,-8298,-513,26
9610,328,-931,-1406,-3746,-8086,-238,539
9620,104,-1044,-1624,-3543,-7861,281,764
9630,-299,-1251,-1634,-3413,-7808,863,764
9640,-565,-1303,-1693,-3232,-7894,1433,26
