# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
5913,-1349,-1488,-257,13,21,-20,502
5915,-1362,-1493,-245,12,17,-19,488
5918,-1361,-1499,-251,10,18,-14,515
5920,-1346,-1487,-257,13,15,-17,510
5923,-1358,-1478,-259,14,16,-19,497
5925,-1369,-1490,-238,15,22,-17,518
5927,-1351,-1486,-252,19,30,-25,527
5931,-1359,-1499,-235,16,16,-18,508
5933,-1337,-1482,-251,10,25,-14,493
5939,-1358,-1482,-230,15,20,-15,505
5941,-1348,-1488,-255,13,14,-24,523
5944,-1354,-1490,-243,14,19,-16,510
5946,-1345,-1478,-242,12,10,-16,503
5949,-1356,-1486,-247,9,13,-18,515
5951,-1364,-1491,-248,16,9,-22,500
5953,-1345,-1495,-267,15,33,-15,502
5956,-1354,-1472,-248,15,16,-21,512
5958,-1352,-1494,-242,13,23,-17,539
5960,-1347,-1480,-239,15,12,-18,516
5963,-1352,-1480,-236,16,28,-19,497
5965,-1340,-1477,-249,14,8,-20,519
5968,-1348,-1491,-237,15,26,-23,521
5970,-1356,-1477,-249,16,11,-14,514
5977,-1354,-1491,-259,10,16,-24,482
5979,-1358,-1491,-257,15,14,-16,511
5982,-1358,-1482,-248,11,23,-22,506
5984,-1353,-1474,-242,13,11,-19,489
5986,-1358,-1488,-224,15,26,-21,518
5989,-1340,-1484,-262,12,18,-16,516
5991,-1349,-1493,-253,14,22,-18,495
5994,-1359,-1486,-253,15,20,-19,508
5996,-1344,-1480,-255,18,21,-19,515
5998,-1364,-1490,-254,10,19,-18,487
6001,-1359,-1475,-261,13,24,-16,516
6003,-1341,-1480,-253,13,18,-25,499
6005,-1355,-1500,-243,15,30,-14,491
6012,-1348,-1486,-257,20,24,-23,519
6014,-1350,-1490,-228,12,25,-17,513
6017,-1353,-1498,-253,14,12,-19,504
6020,-1359,-1482,-243,16,25,-16,520
6022,-1369,-1478,-243,13,12,-20,516
6025,-1357,-1487,-254,11,19,-17,504
6027,-1358,-1477,-229,17,19,-19,516
6029,-1354,-1490,-257,11,22,-19,505
6032,-1366,-1499,-257,14,17,-20,512
6034,-1349,-1486,-252,9,18,-20,510
6036,-1356,-1489,-252,12,22,-19,503
6039,-1358,-1497,-260,13,17,-19,514
6041,-1351,-1482,-261,11,16,-19,503
6044,-1357,-1475,-228,20,23,-17,519
6049,-1348,-1485,-251,13,18,-18,505
6052,-1345,-1488,-245,11,23,-19,514
6054,-1346,-1473,-232,11,21,-16,502
6057,-1337,-1466,-246,12,21,-18,506
6060,-1345,-1487,-257,12,19,-20,510
6062,-1355,-1493,-249,12,25,-22,503
6065,-1347,-1480,-252,13,19,-15,503
6067,-1343,-1476,-266,13,33,-16,516
6070,-1349,-1494,-269,19,15,-18,505
6072,-1350,-1494,-246,12,15,-22,517
6074,-1348,-1488,-250,10,17,-14,509
6077,-1349,-1479,-264,14,27,-18,516
6079,-1344,-1493,-260,14,19,-20,506
6081,-1355,-1478,-238,15,31,-15,505
6087,-1341,-1478,-249,15,30,-14,508
6090,-1350,-1485,-255,10,10,-19,513
6092,-1353,-1486,-252,18,22,-14,511
6095,-1356,-1493,-254,13,12,-24,514
6097,-1373,-1474,-255,11,17,-17,510
6099,-1360,-1486,-241,15,21,-19,512
6103,-1356,-1488,-248,16,14,-14,502
6105,-1351,-1492,-257,13,30,-21,506
6107,-1356,-1476,-251,9,17,-16,514
6110,-1357,-1492,-251,12,23,-18,507
6112,-1351,-1476,-231,13,25,-18,506
6115,-1354,-1496,-225,11,16,-12,509
6117,-1343,-1497,-242,17,20,-19,511
6119,-1342,-1496,-254,11,20,-19,509
6125,-1345,-1490,-255,15,19,-21,513
6128,-1357,-1487,-234,11,16,-14,509
6130,-1358,-1492,-252,17,24,-17,506
6132,-1352,-1471,-244,18,14,-17,508
6135,-1340,-1474,-235,19,16,-18,511
6137,-1356,-1481,-260,13,21,-28,513
6140,-1340,-1484,-248,14,11,-22,507
6142,-1346,-1486,-228,11,22,-21,507
6145,-1365,-1472,-232,18,12,-23,519
6148,-1343,-1490,-261,11,19,-17,509
6150,-1342,-1479,-213,14,13,-14,510
6152,-1350,-1477,-258,21,16,-19,512
6155,-1353,-1480,-253,8,9,-16,509
6157,-1358,-1488,-250,12,14,-19,513
6163,-1352,-1486,-230,11,24,-14,511
