# rocket_logger v3.6 wait=10Hz fly=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1 boot=6
t_ms,ax,ay,az,gx,gy,gz,snd_min,snd_max
38444,786,-1026,-554,652,-185,352,24,761
38454,796,-1034,-751,742,-188,330,25,761
38464,761,-818,-557,753,-173,330,25,761
38474,814,-741,-750,709,-176,350,25,761
38484,830,-680,-502,600,-162,373,24,761
38494,872,-746,-686,524,-136,374,24,761
38504,932,-841,-904,341,-86,410,24,761
38514,1005,-990,-1142,257,14,423,25,761
38524,1036,-1029,-959,215,144,411,25,761
38534,981,-1126,-1253,199,296,383,24,761
38544,955,-1037,-1214,173,369,352,24,761
38554,891,-1084,-1045,119,495,353,25,761
38564,789,-1091,-678,21,522,343,24,761
38578,929,-1117,-803,-34,619,346,566,566
38585,863,-1130,-778,8,660,333,760,760
38594,984,-1099,-607,-12,708,310,24,761
38604,839,-890,-227,-41,755,256,24,761
38614,832,-870,-265,-11,724,243,24,761
38624,666,-919,-321,86,625,254,24,761
38634,22597,1159,32767,12952,-21757,-15746,24,761
38644,32767,-21527,8716,-3397,2304,-4472,16,759
38654,32767,2174,-27154,6858,3507,-332,26,759
38664,-14639,1896,-27061,-3871,-4481,-5580,23,758
38674,23471,6287,-3209,-3400,1654,812,24,759
38684,2,1218,3219,-196,745,-2004,24,759
38694,88,-236,-314,2346,818,-3225,389,610
38704,258,1522,140,2221,594,-3328,418,585
38714,-259,1728,253,793,310,-3326,440,579
38724,-285,66,-430,49,283,-3548,477,523
38734,208,-153,-406,74,210,-3742,480,538
38744,204,-558,-672,187,148,-3875,454,540
38754,55,-793,-825,618,95,-4080,471,540
38764,73,-910,-1184,1193,55,-4184,487,525
38774,181,-645,-987,1677,25,-4203,491,520
38784,316,-147,-340,1859,-40,-4189,489,516
38794,242,209,-251,1672,-50,-4138,499,526
38804,141,252,-161,1361,-85,-4083,497,523
38814,77,154,-125,1196,-173,-4034,454,555
38824,54,45,-112,1165,-288,-3999,498,524
38834,60,91,-78,1128,-393,-3972,498,529
38844,-66,179,-53,991,-465,-3953,498,521
38854,-85,272,-22,743,-427,-3911,497,520
38864,-10,252,94,368,-297,-3864,499,522
38874,-6,41,100,202,-112,-3849,497,519
38884,26,-20,31,185,199,-3850,501,520
38894,204,-128,58,316,535,-3887,486,529
38904,211,-57,15,601,784,-3972,434,547
38914,333,170,259,733,1012,-4051,496,524
38924,265,263,186,687,1237,-4089,501,522
38934,138,244,111,498,1385,-4114,500,522
38944,119,74,-50,375,1435,-4107,501,518
38955,76,-44,-104,415,1428,-4100,500,521
38964,39,-33,-92,492,1429,-4080,500,520
38974,16,39,-51,496,1455,-4041,500,517
38984,16,21,-170,473,1468,-3980,499,518
38994,53,36,-216,477,1432,-3948,500,516
39004,53,90,-234,454,1416,-3912,501,520
39014,45,98,-247,384,1435,-3873,498,517
39024,49,42,-278,356,1451,-3841,501,519
39034,19,-45,-337,401,1473,-3808,502,519
39044,7,-77,-378,502,1496,-3794,500,520
39054,12,-57,-348,602,1515,-3772,483,525
39064,6,-26,-339,671,1554,-3759,499,517
39077,58,18,-297,735,1641,-3733,515,515
39085,73,20,-287,780,1701,-3726,516,516
39094,46,17,-287,837,1770,-3724,500,517
39104,61,-5,-315,910,1858,-3726,500,519
39114,74,-15,-274,960,1961,-3702,491,522
39124,52,39,-370,1003,2045,-3666,481,552
39134,-24953,21814,-32768,8544,11447,3354,166,758
39144,2512,4603,-3105,6818,1329,-1271,20,761
39154,3876,-2049,-14511,2370,6956,582,24,759
39164,-3047,-2530,-4486,3476,5373,1689,28,759
39174,344,-2143,-4213,568,5635,1944,227,760
39184,381,-1286,-2683,2036,5035,1834,292,760
39194,498,-72,-1372,1517,5239,1874,421,678
39204,661,156,-1263,1333,5181,2055,460,586
39214,218,283,-1165,1358,5480,2107,480,530
39224,-66,660,109,1028,5492,2215,487,535
39234,-18,132,-1256,1258,5383,2328,482,537
39244,-229,-460,-1950,2019,5294,2291,489,535
39254,-81,-271,-1304,2454,5250,2139,471,528
39264,-278,-258,-1344,2743,5369,1981,476,542
39274,-274,-355,-1456,3070,5484,1712,416,565
39284,-794,3566,-5369,6031,5882,3063,24,760
39294,8195,-13615,-32768,5147,-3130,3602,19,759
39304,29466,1576,12702,7777,-4628,1226,25,759
39314,8660,448,-7398,10972,-2960,3319,24,758
39324,2874,1688,-1298,5013,-4470,3748,289,610
39334,2063,-823,-2934,6134,-4047,3930,421,541
39344,1568,291,-356,5902,-4255,4153,440,560
39354,2315,-2601,-4281,4814,-2566,2240,385,609
39364,211,-2262,-3000,4115,-556,-576,424,596
39374,-690,-499,-641,3256,-1146,-783,437,592
39384,-827,-460,-612,2542,-1446,-514,432,561
39394,-712,-853,-92,1839,-1475,-615,459,549
39404,-906,-170,-449,403,-1312,-714,464,553
39414,-345,-39,-1080,-297,-1180,-701,493,524
39424,20,-311,-1692,-916,-1088,-490,485,525
39434,345,-618,-2286,-1291,-935,-172,473,533
39444,836,-706,-2571,-1372,-621,34,484,539
39454,897,-339,-2468,-1426,-263,128,488,547
39464,595,-216,-2259,-1473,-47,232,479,532
39474,317,-252,-2015,-1429,22,291,491,562
39484,167,-13,-1872,-1359,15,336,411,633
39494,245,-400,-2046,-1285,-56,305,461,534
39504,188,-398,-2328,-1184,-130,197,465,555
39514,211,-337,-2212,-1135,-110,94,494,533
39524,201,-235,-2113,-1101,-163,43,501,525
39534,255,-309,-2051,-1061,-232,41,472,542
39544,272,-83,-1909,-1037,-301,52,449,554
39554,243,-198,-1776,-979,-337,43,316,759
39564,301,-146,-2056,-893,-421,58,463,545
39577,321,-125,-2151,-742,-471,57,513,513
39584,273,-133,-2346,-627,-505,46,544,544
39595,234,-88,-2180,-434,-496,29,504,527
39604,238,-103,-2233,-259,-490,13,502,520
39614,204,-37,-2240,-102,-437,-7,476,532
39624,225,-47,-2234,17,-361,-20,490,544
39634,223,-80,-2244,120,-263,-21,498,520
39644,171,-39,-2185,208,-160,-16,501,516
39654,164,-78,-2198,253,-78,-2,503,514
39664,173,-111,-2144,270,14,-10,501,521
39674,186,-104,-2095,266,88,-26,506,513
39684,196,-128,-2051,248,136,-41,493,520
39694,193,-91,-2061,210,172,-41,507,517
39704,239,-113,-2045,166,181,-25,507,517
39721,231,-135,-2040,79,158,-13,511,511
39725,235,-143,-2028,56,170,-15,512,512
39734,227,-138,-2041,21,150,-15,505,513
39744,222,-137,-2006,-11,104,-30,506,514
39754,234,-133,-2022,-26,72,-28,507,513
